batch,due_date,name,url,strict,extra
3,02/21/18,Needle in the Haystack,https://www.codewars.com/kata/a-needle-in-the-haystack,,
extr-1,02/27/18,Cockroach,https://www.codewars.com/kata/beginner-series-number-4-cockroach,true,
3,02/21/18,Build tower,https://www.codewars.com/kata/build-tower,,
2,02/02/18,Century From Year,https://www.codewars.com/kata/century-from-year,,false
extr-1,02/27/18,Bool to Str,https://www.codewars.com/kata/convert-a-boolean-to-a-string,true,
1,01/19/18,Convert a Number to a String!,https://www.codewars.com/kata/convert-a-number-to-a-string,,false
1,01/19/18,Convert a String to a Number!,https://www.codewars.com/kata/convert-a-string-to-a-number,,false
2,02/02/18,Convert boolean values to strings 'Yes' or 'No'.,https://www.codewars.com/kata/convert-boolean-values-to-strings-yes-or-no,,false
3,02/21/18,Count of pos minus neg,https://www.codewars.com/kata/count-of-positives-slash-sum-of-negatives,,
expos,04/30/18,(G2) Vowels count,https://www.codewars.com/kata/count-vowels-in-a-string,,true
3,02/21/18,Counting sheep,https://www.codewars.com/kata/counting-sheep-dot-dot-dot,,
expos,04/30/18,(G3) Dominant array,https://www.codewars.com/kata/dominant-array-elements,,true
3,02/21/18,Double char,https://www.codewars.com/kata/double-char,,
expos,04/30/18,(G2) Elevator distance,https://www.codewars.com/kata/elevator-distance,,true
2,02/02/18,Even or Odd,https://www.codewars.com/kata/even-or-odd,,false
4,03/04/18,Exclamation per Vowel,https://www.codewars.com/kata/exclamation-marks-series-number-11-replace-all-vowel-to-exclamation-mark-in-the-sentence,,
2,02/02/18,Fake Binary,https://www.codewars.com/kata/fake-binary,,false
extr-1,02/27/18,Max/Min,https://www.codewars.com/kata/find-maximum-and-minimum-values-of-a-list,true,
1,01/19/18,Find the volume of a Cone.,https://www.codewars.com/kata/find-the-volume-of-a-cone,,false
4,03/04/18,Friend or Foe,https://www.codewars.com/kata/friend-or-foe,,
expos,04/30/18,(G1) Fuel calculator,https://www.codewars.com/kata/fuel-calculator,,true
4,03/04/18,Middle Char,https://www.codewars.com/kata/get-the-middle-character,,
extr-1,02/27/18,Grade book,https://www.codewars.com/kata/grasshopper-grade-book,true,
1,01/19/18,Grasshopper - Messi Goals,https://www.codewars.com/kata/grasshopper-messi-goals,,false
1,01/19/18,Grasshopper - Shopping list,https://www.codewars.com/kata/grasshopper-shopping-list,,false
3,02/21/18,Grasshopper,https://www.codewars.com/kata/grasshopper-summation,,
extr-1,02/27/18,Invert Values,https://www.codewars.com/kata/invert-values,true,
2,02/02/18,Isograms,https://www.codewars.com/kata/isograms,,true
1,01/19/18,Keep Hydrated!,https://www.codewars.com/kata/keep-hydrated-1,,false
2,02/02/18,Keep up the hoop,https://www.codewars.com/kata/keep-up-the-hoop,,false
expos,04/30/18,(G3) KISS,https://www.codewars.com/kata/kiss-keep-it-simple-stupid,,true
expos,04/30/18,(G3) Logical calculator,https://www.codewars.com/kata/logical-calculator,,true
3,02/21/18,Multiples of 3 and 5,https://www.codewars.com/kata/multiples-of-3-or-5,,
expos,04/30/18,(G1) N seconds ago,https://www.codewars.com/kata/n-seconds-ago,,true
1,01/19/18,Opposite number,https://www.codewars.com/kata/opposite-number,,false
4,03/04/18,Persistent bugger,https://www.codewars.com/kata/persistent-bugger,,
extr-1,02/27/18,Printer errors,https://www.codewars.com/kata/printer-errors,true,
4,03/04/18,First and last,https://www.codewars.com/kata/remove-first-and-last-character,,
4,03/04/18,Removing spaces,https://www.codewars.com/kata/remove-string-spaces,,
2,02/02/18,Return Negative,https://www.codewars.com/kata/return-negative,,false
4,03/04/18,Reversing words,https://www.codewars.com/kata/reversing-words-in-a-string,,
2,02/02/18,Rock Paper Scissors!,https://www.codewars.com/kata/rock-paper-scissors,,false
4,03/04/18,Sentence smash,https://www.codewars.com/kata/sentence-smash,,
2,02/02/18,SevenAte9,https://www.codewars.com/kata/sevenate9,,false
expos,04/30/18,(G1) Encryption alternating,https://www.codewars.com/kata/simple-encryption-number-1-alternating-split,,true
3,02/21/18,Square n sum,https://www.codewars.com/kata/square-n-sum,,
2,02/02/18,Sum of all the multiples of 3 or 5,https://www.codewars.com/kata/sum-of-all-the-multiples-of-3-or-5,,false
3,02/21/18,Sum of positives,https://www.codewars.com/kata/sum-of-positive,,
3,02/21/18,Two lowest positive,https://www.codewars.com/kata/sum-of-two-lowest-positive-integers,,
expos,04/30/18,(G2) Sum square even,https://www.codewars.com/kata/sum-square-even-root-odd,,true
extr-1,02/27/18,Triangle angles,https://www.codewars.com/kata/third-angle-of-a-triangle,true,
1,01/19/18,Volume of a Cuboid,https://www.codewars.com/kata/volume-of-a-cuboid,,false
4,03/04/18,Vowel Count,https://www.codewars.com/kata/vowel-count,,
extr-1,02/27/18,YONO,https://www.codewars.com/kata/you-only-need-one-beginner,true,
