id,name,slug,completedLanguages/0,completedAt
55bf01e5a717a0d57e0000ec,Persistent Bugger.,persistent-bugger,python,03/04/18
57a55c8b72292d057b000594,Reversing Words in a String,reversing-words-in-a-string,python,03/04/18
56747fd5cb988479af000028,Get the Middle Character,get-the-middle-character,python,02/21/18
55b42574ff091733d900002f,Friend or Foe?,friend-or-foe,python,02/21/18
57fb09ef2b5314a8a90001ed,Exclamation marks series #11: Replace all vowel to exclamation mark in the sentence,exclamation-marks-series-number-11-replace-all-vowel-to-exclamation-mark-in-the-sentence,python,02/21/18
56bc28ad5bdaeb48760009b0,Remove First and Last Character,remove-first-and-last-character,python,02/21/18
576757b1df89ecf5bd00073b,Build Tower,build-tower,python,02/21/18
57eae20f5500ad98e50002c5,Remove String Spaces,remove-string-spaces,python,02/21/18
53dc23c68a0c93699800041d,Sentence Smash,sentence-smash,python,02/21/18
54ff3102c1bad923760001f3,Vowel Count,vowel-count,python,02/21/18
576bb71bbbcf0951d5000044,Count of positives / sum of negatives,count-of-positives-slash-sum-of-negatives,python,02/21/18
54edbc7200b811e956000556,Counting sheep...,counting-sheep-dot-dot-dot,python,02/21/18
558fc85d8fd1938afb000014,Sum of two lowest positive integers,sum-of-two-lowest-positive-integers,python,02/21/18
515e271a311df0350d00000f,Square(n) Sum,square-n-sum,python,02/21/18
55d24f55d7dd296eb9000030,Grasshopper - Summation,grasshopper-summation,python,02/21/18
56676e8fabd2d1ff3000000c,A Needle in the Haystack,a-needle-in-the-haystack,python,02/20/18
514b92a657cdc65150000006,Multiples of 3 or 5,multiples-of-3-or-5,python,02/20/18
5715eaedb436cf5606000381,Sum of positive,sum-of-positive,python,02/20/18
560c31275c39c481c4000022,Grasshopper - Shopping list,grasshopper-shopping-list,python,02/16/18
56b1f01c247c01db92000076,Double Char,double-char,python,02/14/18
559f44187fa851efad000087,SevenAte9,sevenate9,python,02/02/18
54ba84be607a92aa900000f1,Isograms,isograms,python,02/02/18
55685cd7ad70877c23000102,Return Negative,return-negative,python,01/24/18
57eae65a4321032ce000002d,Fake Binary,fake-binary,python,01/23/18
5a3fe3dde1ce0e8ed6000097,Century From Year,century-from-year,python,01/23/18
57f36495c0bb25ecf50000e7,Sum of all the multiples of 3 or 5,sum-of-all-the-multiples-of-3-or-5,python,01/23/18
55cb632c1a5d7b3ad0000145,Keep up the hoop,keep-up-the-hoop,python,01/23/18
5672a98bdbdd995fad00000f,Rock Paper Scissors!,rock-paper-scissors,python,01/23/18
53369039d7ab3ac506000467,Convert boolean values to strings 'Yes' or 'No'.,convert-boolean-values-to-strings-yes-or-no,python,01/23/18
57356c55867b9b7a60000bd7,Basic Mathematical Operations,basic-mathematical-operations,python,01/19/18
53da3dbb4a5168369a0000fe,Even or Odd,even-or-odd,python,01/19/18
57b2e428d24156b312000114,Find the volume of a Cone.,find-the-volume-of-a-cone,python,01/18/18
58261acb22be6e2ed800003a,Volume of a Cuboid,volume-of-a-cuboid,python,01/18/18
582cb0224e56e068d800003c,Keep Hydrated!,keep-hydrated-1,python,01/18/18
56dec885c54a926dcd001095,Opposite number,opposite-number,python,01/18/18
55ca77fa094a2af31f00002a,Grasshopper - Messi Goals,grasshopper-messi-goals,python,01/15/18
5265326f5fda8eb1160004c8,Convert a Number to a String!,convert-a-number-to-a-string,python,01/12/18
544675c6f971f7399a000e79,Convert a String to a Number!,convert-a-string-to-a-number,python,01/12/18
50654ddff44f800200000004,Multiply,multiply,python,01/05/18
